population,NofCrime,Nof5CategoryCrime,NofOtherCrime,midnightCrime,morningCrime,dayCrime,nightCrime,bad_health,bad_health_range,bad_health_range10
4731,148,65,45,19,29,46,54,14.1,3,5
3664,39,10,10,2,9,11,17,10.4,2,3
5990,204,105,59,34,33,59,78,17.1,4,6
3363,160,68,48,25,33,50,52,15.3,3,5
4199,147,82,19,24,31,44,48,10.9,2,4
3903,33,18,9,6,11,6,10,14,3,5
1740,49,22,18,6,10,12,21,11,2,4
3648,38,9,0,2,11,16,9,9.3,2,3
1731,69,42,12,4,10,21,34,13.9,3,5
3851,15,8,2,3,3,3,6,15,3,5
2670,53,25,3,7,11,16,19,12,2,4
4751,217,96,40,24,45,79,69,11.7,2,4
6146,47,24,9,7,18,11,11,14.8,3,5
3819,75,25,13,5,27,22,21,11.8,2,4
6143,309,146,56,42,71,93,103,12.5,2,4
4085,122,58,26,18,27,26,51,15.3,3,5
5412,239,128,67,20,43,84,92,18.3,4,6
5256,147,82,30,15,28,65,39,18,4,6
3652,121,44,25,11,20,50,40,13,3,4
4780,238,129,67,42,56,62,78,17.5,4,6
5210,258,131,75,40,44,83,91,18.9,4,7
2886,26,8,3,5,2,8,11,17.5,4,6
4921,142,62,33,15,28,53,46,18.2,4,6
5998,133,70,47,26,21,38,48,16.9,3,6
3357,118,54,31,13,24,46,35,17.8,4,6
3282,191,92,59,37,24,56,74,19.1,4,7
3236,137,58,25,20,22,43,52,18.9,4,7
3293,126,60,39,19,28,36,43,16.7,3,6
3672,97,51,31,10,15,35,37,18,4,6
3539,84,41,25,9,11,30,34,16.8,3,6
4208,246,120,96,39,52,66,89,24.5,5,9
2397,151,92,40,13,36,46,56,20,4,7
4219,138,76,42,21,28,45,44,14.9,3,5
5328,173,94,42,23,32,56,62,16.5,3,6
3514,231,84,39,19,37,93,82,18.4,4,6
2277,142,76,43,17,28,50,47,21.6,5,8
3152,62,33,9,8,8,17,29,13.7,3,5
5557,216,112,33,35,49,65,67,15.6,3,5
