GeoLocation,,TractFIPS
(34.2594736124, -118.292986888),6037101110
(34.2677215381, -118.290147139),6037101122
(34.2529723884, -118.29073093),6037101210
(34.251608492, -118.281632269),6037101220
(34.2487781261, -118.270998916),6037101300
(34.2428530221, -118.294164132),6037101400
(34.2250792017, -118.354188044),6037102103
(34.2161867087, -118.345404215),6037102104
(34.2098714343, -118.349263911),6037102105
(34.24047302, -118.338008066),6037102107
(34.2732408147, -118.307887424),6037103101
(34.2633842945, -118.307388243),6037103102
(34.2722216165, -118.33769961),6037103200
(34.2573786607, -118.355477646),6037103300
(34.2548353935, -118.313973658),6037103400
(34.2820992974, -118.392576354),6037104103
(34.2761482316, -118.404686063),6037104105
(34.2731497127, -118.398570018),6037104108
(34.2794401202, -118.379103232),6037104124
(34.2865005947, -118.416099724),6037104201
(34.2790581286, -118.41155431),6037104203
(34.2894422501, -118.395072665),6037104204
(34.2763731834, -118.429281141),6037104310
(34.2731324072, -118.420249125),6037104320
(34.2670388027, -118.432721629),6037104401
(34.2587739444, -118.43448529),6037104403
(34.263920671, -118.428691445),6037104404
(34.2555108924, -118.425748024),6037104500
(34.2604355657, -118.418992862),6037104610
(34.2579043724, -118.422464804),6037104620
(34.268474486, -118.415213851),6037104701
(34.2552324771, -118.40059038),6037104703
(34.2625316415, -118.408863695),6037104704
(34.2502996266, -118.411179254),6037104810
(34.2465705263, -118.416295602),6037104821
(34.2458338715, -118.420923913),6037104822
(34.3253360674, -118.443410906),6037106010
(34.3212768892, -118.428380271),6037106020
(34.3188906396, -118.409861394),6037106111
(34.3054784652, -118.412447181),6037106112
(34.3061792841, -118.422236916),6037106113
(34.3027270417, -118.426990691),6037106114
(34.3060186758, -118.441274239),6037106403
(34.3146809046, -118.448292799),6037106405
(34.3223862216, -118.460187825),6037106406
(34.3105741963, -118.43655716),6037106407
(34.3132613231, -118.440077709),6037106408
(34.3235640135, -118.485084841),6037106510
(34.3088574805, -118.461352505),6037106520
(34.3125978783, -118.520478512),6037106603
(34.3044426355, -118.473674779),6037106604
(34.2984691126, -118.508433099),6037106641
(34.286322643, -118.50701369),6037106642
(34.2894539879, -118.522016825),6037106643
(34.2905630964, -118.494173026),6037106645
(34.279737959, -118.49394483),6037106646
(34.2930983026, -118.455834646),6037106648
(34.2892619301, -118.46065439),6037106649
(34.3020803417, -118.44672058),6037107010
(34.2975505056, -118.45047945),6037107020
(34.2793058728, -118.541652418),6037108101
(34.2804585587, -118.555066583),6037108102
(34.2864236008, -118.540002176),6037108103
(34.2943135244, -118.546008289),6037108104
(34.2868639595, -118.564233719),6037108201
(34.2869111735, -118.581612731),6037108202
(34.277169545, -118.463150987),6037109100
(34.2779981225, -118.474627068),6037109200
(34.2711982744, -118.480433434),6037109300
(34.2687176476, -118.455696885),6037109400
(34.2738392474, -118.444031541),6037109500
(34.2586254461, -118.451449658),6037109601
(34.2536518298, -118.465415736),6037109603
(34.2615445507, -118.465351801),6037109604
(34.2619342354, -118.480888134),6037109700
(34.2537114493, -118.481597345),6037109800
(34.2683098273, -118.495069437),6037111100
(34.2748334645, -118.510148998),6037111201
(34.2684430683, -118.514827142),6037111202
(34.2620487933, -118.548883146),6037111204
(34.253504093, -118.535267994),6037111205
(34.2675477869, -118.534498108),6037111206
(34.2611288289, -118.515770558),6037111301
(34.2539510115, -118.512842514),6037111302
(34.2578117833, -118.496181958),6037111400
(34.264577088, -118.586901264),6037113101
(34.2653031287, -118.568592213),6037113102
(34.2660777778, -118.615261605),6037113211
(34.2606868654, -118.602431196),6037113212
(34.253391414, -118.607192787),6037113213
(34.2228006978, -118.640590416),6037113231
(34.2258260703, -118.612544966),6037113232
(34.2269623344, -118.601220227),6037113233
(34.2261728665, -118.593871908),6037113234
(34.2385472437, -118.631397833),6037113235
(34.2441763286, -118.61270876),6037113237
(34.2440431814, -118.558342832),6037113301
(34.2438264739, -118.578802857),6037113303
(34.2535731985, -118.591254644),6037113321
(34.2536786668, -118.572138222),6037113322
(34.2272273539, -118.562693816),6037113401
(34.2331817376, -118.582952131),6037113421
(34.2244084492, -118.580403205),6037113422
(34.2394394974, -118.511230481),6037115101
(34.2438269394, -118.527463057),6037115103
(34.2374913573, -118.522645932),6037115104
(34.2444114896, -118.53690553),6037115201
(34.2338376263, -118.537775488),6037115202
(34.2426639, -118.548475868),6037115301
(34.2260631125, -118.549950182),6037115302
(34.2248077204, -118.515126989),6037115401
(34.2247342738, -118.531729893),6037115403
(34.2253009477, -118.541322331),6037115404
(34.2392075129, -118.462188995),6037117101
(34.2465479289, -118.460321328),6037117102
(34.2426725458, -118.470089483),6037117201
(34.2429125234, -118.478867496),6037117202
(34.2421588278, -118.489651104),6037117301
(34.2381437681, -118.498742162),6037117302
(34.2281098924, -118.491281332),6037117303
(34.2284789036, -118.479076976),6037117404
(34.2337312124, -118.470231111),6037117405
(34.2301059395, -118.470311654),6037117407
(34.2248463854, -118.470370902),6037117408
(34.2337406114, -118.462973368),6037117510
(34.2300402025, -118.463265697),6037117520
(34.2248537503, -118.463690109),6037117530
(34.2322823725, -118.418118098),6037119001
(34.24589255, -118.428110725),6037119002
(34.2466009423, -118.441346134),6037119201
(34.2554266752, -118.442558728),6037119202
(34.2453913047, -118.450504944),6037119310
(34.2389171884, -118.453609665),6037119320
(34.233609042, -118.45190087),6037119340
(34.237166716, -118.445875742),6037119341
(34.2407687654, -118.447267136),6037119342
(34.2400975606, -118.435847819),6037119400
(34.2213535255, -118.4264506),6037119700
(34.233791985, -118.430130375),6037119800
(34.2278369977, -118.441280312),6037119900
(34.2178894685, -118.462622713),6037120010
(34.2183874852, -118.454729146),6037120020
(34.2152446578, -118.451842994),6037120030
(34.2297196475, -118.451798386),6037120103
(34.223962971, -118.449366626),6037120104
(34.2310706738, -118.446532378),6037120105
(34.2231088805, -118.456664304),6037120106
(34.2263930774, -118.456550658),6037120107
(34.2316431637, -118.456148125),6037120108
(34.2152914576, -118.440840055),6037120300
(34.2188823778, -118.432339728),6037120400
(34.2233191167, -118.403652533),6037121010
(34.2121219009, -118.402062495),6037121020
(34.2244169695, -118.365429515),6037121101
(34.2423590785, -118.38143257),6037121102
(34.239409975, -118.40467005),6037121210
(34.2276072829, -118.395556454),6037121221
(34.232141094, -118.391949581),6037121222
(34.2110692108, -118.410591625),6037121600
(34.2114871051, -118.392877116),6037121801
(34.2192113003, -118.391364745),6037121802
(34.2178582929, -118.383199784),6037121900
(34.2148195693, -118.418406125),6037122000
(34.2107756229, -118.371909421),6037122120
(34.2142142026, -118.370555597),6037122121
(34.2198524847, -118.373377651),6037122122
(34.2143160488, -118.359452873),6037122200
(34.2044832521, -118.391973961),6037122410
(34.2036100395, -118.383284233),6037122420
(34.2027436818, -118.374571674),6037123010
(34.2047368518, -118.366494595),6037123020
(34.1908710923, -118.365450765),6037123103
(34.182890577, -118.365002792),6037123104
(34.1962417772, -118.391129653),6037123203
(34.1939360052, -118.3943295),6037123204
(34.1945636664, -118.38356143),6037123205
(34.1937074581, -118.374866549),6037123206
(34.2003103909, -118.400122546),6037123301
(34.1972752486, -118.411603672),6037123303
(34.1965390638, -118.406088242),6037123304
(34.1979675283, -118.421631889),6037123410
(34.1935753154, -118.416614078),6037123420
(34.1951056482, -118.427504458),6037123510
(34.1887183533, -118.424694806),6037123520
(34.1779468826, -118.417981122),6037123601
(34.1812200097, -118.426325604),6037123602
(34.1848596424, -118.409516894),6037123700
(34.1797369934, -118.401436164),6037123800
(34.1854544753, -118.393800352),6037123901
(34.1758783343, -118.392228785),6037123902
(34.1625023029, -118.404936267),6037124000
(34.1757824697, -118.383398788),6037124102
(34.1884918828, -118.383412153),6037124103
(34.1848612545, -118.383410011),6037124104
(34.1812288621, -118.383406118),6037124105
(34.1848664913, -118.374676344),6037124201
(34.1776041103, -118.374664988),6037124203
(34.1739725036, -118.374655347),6037124204
(34.1757377651, -118.364296284),6037124300
(34.1739729631, -118.409546966),6037124400
(34.1722741233, -118.426770441),6037124500
(34.1620693271, -118.426932046),6037124600
(34.161852728, -118.416536258),6037124700
(34.1702439091, -118.400874584),6037124902
(34.1666098862, -118.400867508),6037124903
(34.1648812645, -118.392125146),6037125100
(34.1648986965, -118.383364762),6037125200
(34.1695166328, -118.366031144),6037125310
(34.1666764465, -118.370194424),6037125320
(34.1626065617, -118.374304667),6037125401
(34.156682744, -118.374006261),6037125402
(34.162293662, -118.365785492),6037125501
(34.156628664, -118.365544665),6037125502
(34.1578941303, -118.356861351),6037125600
