@relation 'census_income-weka.filters.unsupervised.attribute.Remove-R2-4,7,9,14'

@attribute age numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
39,13,Never-married,Not-in-family,Male,2174,0,40,<=50K
50,13,Married-civ-spouse,Husband,Male,0,0,13,<=50K
38,9,Divorced,Not-in-family,Male,0,0,40,<=50K
53,7,Married-civ-spouse,Husband,Male,0,0,40,<=50K
28,13,Married-civ-spouse,Wife,Female,0,0,40,<=50K
37,14,Married-civ-spouse,Wife,Female,0,0,40,<=50K
49,5,Married-spouse-absent,Not-in-family,Female,0,0,16,<=50K
52,9,Married-civ-spouse,Husband,Male,0,0,45,>50K
31,14,Never-married,Not-in-family,Female,14084,0,50,>50K
42,13,Married-civ-spouse,Husband,Male,5178,0,40,>50K
37,10,Married-civ-spouse,Husband,Male,0,0,80,>50K
30,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
23,13,Never-married,Own-child,Female,0,0,30,<=50K
32,12,Never-married,Not-in-family,Male,0,0,50,<=50K
34,4,Married-civ-spouse,Husband,Male,0,0,45,<=50K
25,9,Never-married,Own-child,Male,0,0,35,<=50K
32,9,Never-married,Unmarried,Male,0,0,40,<=50K
38,7,Married-civ-spouse,Husband,Male,0,0,50,<=50K
43,14,Divorced,Unmarried,Female,0,0,45,>50K
40,16,Married-civ-spouse,Husband,Male,0,0,60,>50K
54,9,Separated,Unmarried,Female,0,0,20,<=50K
35,5,Married-civ-spouse,Husband,Male,0,0,40,<=50K
43,7,Married-civ-spouse,Husband,Male,0,2042,40,<=50K
59,9,Divorced,Unmarried,Female,0,0,40,<=50K
56,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
19,9,Never-married,Own-child,Male,0,0,40,<=50K
39,9,Divorced,Not-in-family,Male,0,0,80,<=50K
49,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
23,12,Never-married,Not-in-family,Male,0,0,52,<=50K
20,10,Never-married,Own-child,Male,0,0,44,<=50K
45,13,Divorced,Own-child,Male,0,1408,40,<=50K
30,10,Married-civ-spouse,Own-child,Male,0,0,40,<=50K
22,10,Married-civ-spouse,Husband,Male,0,0,15,<=50K
48,7,Never-married,Unmarried,Male,0,0,40,<=50K
21,10,Never-married,Own-child,Male,0,0,40,<=50K
19,9,Married-AF-spouse,Wife,Female,0,0,25,<=50K
48,12,Married-civ-spouse,Husband,Male,0,0,40,<=50K
31,5,Married-civ-spouse,Husband,Male,0,0,43,<=50K
53,13,Married-civ-spouse,Husband,Male,0,0,40,<=50K
24,13,Married-civ-spouse,Husband,Male,0,0,50,<=50K
49,9,Separated,Unmarried,Female,0,0,40,<=50K
25,9,Never-married,Not-in-family,Male,0,0,35,<=50K
57,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
53,9,Married-civ-spouse,Husband,Male,0,0,38,<=50K
44,14,Divorced,Unmarried,Female,0,0,40,<=50K
41,11,Married-civ-spouse,Husband,Male,0,0,40,<=50K
29,11,Never-married,Not-in-family,Male,0,0,43,<=50K
25,10,Married-civ-spouse,Wife,Female,0,0,40,<=50K
47,15,Married-civ-spouse,Wife,Female,0,1902,60,>50K
50,13,Divorced,Not-in-family,Male,0,0,55,>50K
47,9,Divorced,Not-in-family,Male,0,0,60,<=50K
43,10,Married-civ-spouse,Husband,Male,0,0,40,>50K
46,3,Married-civ-spouse,Husband,Male,0,0,40,<=50K
35,11,Married-civ-spouse,Husband,Male,0,0,40,<=50K
41,9,Married-civ-spouse,Husband,Male,0,0,48,<=50K
30,9,Married-civ-spouse,Husband,Male,5013,0,40,<=50K
30,13,Married-civ-spouse,Husband,Male,2407,0,40,<=50K
48,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
42,16,Married-civ-spouse,Husband,Male,0,0,45,>50K
29,10,Divorced,Not-in-family,Male,0,0,58,<=50K
36,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
28,10,Divorced,Not-in-family,Female,0,0,40,<=50K
53,9,Married-civ-spouse,Wife,Female,0,0,40,>50K
49,10,Married-civ-spouse,Husband,Male,0,0,50,>50K
19,10,Never-married,Own-child,Male,0,0,32,<=50K
31,13,Separated,Own-child,Female,0,0,40,<=50K
29,13,Married-civ-spouse,Husband,Male,0,0,70,>50K
23,10,Never-married,Not-in-family,Male,0,0,40,<=50K
79,10,Married-civ-spouse,Other-relative,Male,0,0,20,<=50K
27,9,Never-married,Own-child,Male,0,0,40,<=50K
40,12,Married-civ-spouse,Husband,Male,0,0,40,<=50K
18,7,Never-married,Own-child,Female,0,0,22,<=50K
31,4,Married-civ-spouse,Husband,Male,0,0,40,<=50K
18,9,Never-married,Not-in-family,Male,0,0,30,<=50K
52,13,Married-civ-spouse,Husband,Male,0,0,40,<=50K
46,9,Married-civ-spouse,Wife,Female,0,0,40,<=50K
59,9,Married-civ-spouse,Husband,Male,0,0,48,<=50K
44,9,Divorced,Not-in-family,Female,14344,0,40,>50K
53,9,Divorced,Own-child,Female,0,0,35,<=50K
49,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
33,14,Married-civ-spouse,Husband,Male,0,0,50,<=50K
30,5,Never-married,Not-in-family,Male,0,0,40,<=50K
43,16,Never-married,Not-in-family,Female,0,0,50,>50K
57,11,Married-civ-spouse,Husband,Male,0,0,40,<=50K
37,10,Divorced,Unmarried,Female,0,0,40,<=50K
28,10,Divorced,Unmarried,Female,0,0,25,<=50K
34,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
29,10,Never-married,Not-in-family,Male,0,0,50,<=50K
48,16,Married-civ-spouse,Husband,Male,0,1902,60,>50K
37,10,Married-civ-spouse,Husband,Male,0,0,48,>50K
48,12,Divorced,Unmarried,Female,0,0,40,<=50K
32,9,Never-married,Own-child,Male,0,0,40,<=50K
76,14,Married-civ-spouse,Husband,Male,0,0,40,>50K
44,13,Married-civ-spouse,Husband,Male,15024,0,60,>50K
47,14,Never-married,Not-in-family,Female,0,0,50,<=50K
20,10,Never-married,Own-child,Female,0,0,40,<=50K
29,9,Never-married,Not-in-family,Male,0,0,40,<=50K
32,9,Married-civ-spouse,Husband,Male,7688,0,40,>50K
30,7,Never-married,Own-child,Male,0,0,40,<=50K
31,9,Never-married,Not-in-family,Female,0,0,40,<=50K
42,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
24,13,Never-married,Other-relative,Male,0,0,40,<=50K
38,15,Married-civ-spouse,Husband,Male,0,0,40,>50K
56,9,Married-civ-spouse,Husband,Male,0,1887,50,>50K
28,10,Married-civ-spouse,Wife,Female,4064,0,25,<=50K
36,9,Never-married,Own-child,Female,0,0,40,<=50K
53,5,Married-civ-spouse,Husband,Male,0,0,50,<=50K
56,10,Married-civ-spouse,Husband,Male,0,0,50,<=50K
49,11,Married-civ-spouse,Husband,Male,0,0,40,>50K
55,10,Married-civ-spouse,Husband,Male,0,0,56,<=50K
22,9,Never-married,Not-in-family,Male,0,0,41,<=50K
21,10,Never-married,Own-child,Female,0,0,40,<=50K
40,13,Married-civ-spouse,Husband,Male,0,0,60,<=50K
30,13,Never-married,Own-child,Male,0,0,40,<=50K
29,13,Married-civ-spouse,Husband,Male,0,0,50,>50K
19,10,Never-married,Own-child,Male,0,0,35,<=50K
47,13,Married-civ-spouse,Wife,Female,0,0,40,>50K
20,10,Never-married,Own-child,Female,0,1719,28,<=50K
31,12,Married-civ-spouse,Husband,Male,0,0,40,>50K
39,10,Divorced,Not-in-family,Male,0,0,40,<=50K
28,12,Never-married,Not-in-family,Female,0,0,60,<=50K
24,9,Never-married,Not-in-family,Female,0,1762,40,<=50K
38,9,Married-civ-spouse,Husband,Male,4386,0,35,<=50K
37,13,Married-civ-spouse,Husband,Male,0,0,50,<=50K
46,12,Divorced,Not-in-family,Female,0,0,36,<=50K
38,14,Married-civ-spouse,Husband,Male,0,0,40,>50K
43,9,Married-civ-spouse,Husband,Male,0,0,60,<=50K
27,11,Married-civ-spouse,Wife,Female,0,0,35,<=50K
20,10,Never-married,Own-child,Male,0,0,20,<=50K
49,10,Married-civ-spouse,Husband,Male,0,0,40,>50K
61,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
27,10,Never-married,Own-child,Female,0,0,40,<=50K
19,10,Never-married,Own-child,Male,0,0,30,<=50K
45,11,Never-married,Not-in-family,Female,0,1564,40,>50K
70,10,Never-married,Other-relative,Male,0,0,40,<=50K
31,9,Never-married,Unmarried,Female,0,0,30,<=50K
22,10,Married-civ-spouse,Husband,Male,0,0,24,<=50K
36,9,Widowed,Unmarried,Female,0,0,24,<=50K
64,7,Married-civ-spouse,Husband,Male,0,2179,40,<=50K
47,10,Divorced,Unmarried,Female,0,0,38,<=50K
34,9,Never-married,Not-in-family,Female,0,0,40,<=50K
33,13,Never-married,Other-relative,Female,0,0,40,<=50K
21,9,Never-married,Own-child,Male,0,0,35,<=50K
48,9,Married-civ-spouse,Husband,Male,0,0,46,<=50K
23,13,Never-married,Not-in-family,Male,0,0,40,<=50K
71,10,Separated,Unmarried,Male,0,1816,2,<=50K
29,9,Divorced,Not-in-family,Male,0,0,60,<=50K
42,13,Separated,Other-relative,Male,0,0,50,<=50K
25,9,Never-married,Unmarried,Female,0,0,40,<=50K
44,14,Divorced,Unmarried,Female,0,0,40,<=50K
28,9,Never-married,Not-in-family,Female,0,0,40,<=50K
45,14,Married-civ-spouse,Husband,Male,0,0,40,>50K
36,10,Divorced,Unmarried,Female,0,0,40,<=50K
39,12,Never-married,Not-in-family,Male,0,0,42,<=50K
46,14,Widowed,Unmarried,Male,0,0,40,<=50K
18,7,Never-married,Own-child,Male,0,0,16,<=50K
66,11,Widowed,Not-in-family,Female,0,0,20,<=50K
27,9,Never-married,Not-in-family,Male,0,1980,40,<=50K
28,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
51,10,Married-civ-spouse,Husband,Male,0,1977,40,>50K
27,13,Never-married,Not-in-family,Male,0,0,50,<=50K
28,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
27,9,Married-spouse-absent,Unmarried,Female,0,0,25,<=50K
21,9,Never-married,Own-child,Male,0,0,40,<=50K
34,9,Never-married,Not-in-family,Male,0,0,40,<=50K
18,9,Never-married,Own-child,Male,0,0,12,<=50K
33,13,Married-civ-spouse,Husband,Male,0,0,65,<=50K
44,10,Married-civ-spouse,Husband,Male,0,0,38,>50K
43,10,Divorced,Not-in-family,Female,0,0,40,<=50K
30,10,Never-married,Not-in-family,Male,0,0,45,<=50K
40,4,Married-civ-spouse,Husband,Male,0,0,40,>50K
37,10,Married-civ-spouse,Husband,Male,0,0,42,>50K
34,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
41,13,Divorced,Not-in-family,Female,0,0,40,<=50K
31,14,Married-civ-spouse,Wife,Female,0,0,50,<=50K
58,16,Married-civ-spouse,Husband,Male,0,0,1,>50K
38,10,Divorced,Not-in-family,Female,0,0,28,<=50K
24,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
41,13,Married-civ-spouse,Husband,Male,0,0,40,<=50K
47,10,Married-civ-spouse,Husband,Male,0,0,45,<=50K
41,13,Married-civ-spouse,Husband,Male,0,0,24,<=50K
23,3,Married-civ-spouse,Other-relative,Male,0,0,40,<=50K
36,10,Divorced,Not-in-family,Male,0,0,40,<=50K
40,14,Never-married,Not-in-family,Female,14084,0,55,>50K
35,14,Married-civ-spouse,Other-relative,Male,7298,0,40,>50K
24,9,Never-married,Not-in-family,Male,0,0,40,<=50K
26,14,Never-married,Not-in-family,Female,0,1876,40,<=50K
51,13,Married-civ-spouse,Husband,Male,0,0,50,>50K
42,10,Never-married,Not-in-family,Female,0,1340,40,<=50K
37,9,Divorced,Unmarried,Female,0,0,35,<=50K
18,7,Never-married,Own-child,Female,0,0,40,<=50K
36,13,Married-civ-spouse,Husband,Male,7298,0,36,>50K
35,9,Divorced,Not-in-family,Male,0,0,60,<=50K
58,9,Married-civ-spouse,Wife,Female,15024,0,35,>50K
17,7,Never-married,Own-child,Female,0,0,12,<=50K
44,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
37,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
35,10,Never-married,Not-in-family,Female,0,0,40,<=50K
60,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
54,4,Married-civ-spouse,Husband,Male,0,0,40,>50K
37,13,Never-married,Not-in-family,Male,0,0,60,>50K
50,12,Divorced,Not-in-family,Female,0,0,40,<=50K
38,13,Married-civ-spouse,Husband,Male,0,0,50,<=50K
45,13,Married-civ-spouse,Husband,Male,0,0,55,<=50K
25,6,Never-married,Not-in-family,Male,0,0,40,<=50K
31,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
90,9,Never-married,Not-in-family,Male,0,2206,40,<=50K
54,9,Married-civ-spouse,Husband,Male,0,0,20,<=50K
53,1,Never-married,Not-in-family,Female,0,0,35,<=50K
18,9,Never-married,Own-child,Female,0,0,40,<=50K
66,9,Married-civ-spouse,Husband,Male,1409,0,50,<=50K
75,11,Widowed,Not-in-family,Female,0,0,20,<=50K
65,9,Divorced,Not-in-family,Female,0,0,40,<=50K
35,7,Separated,Not-in-family,Male,3674,0,40,<=50K
41,9,Divorced,Unmarried,Female,0,0,38,<=50K
25,10,Never-married,Not-in-family,Male,0,0,42,<=50K
33,10,Divorced,Other-relative,Female,0,0,40,<=50K
