@relation 'census_income-weka.filters.unsupervised.attribute.Remove-R2-3,9-10,12-14'

@attribute age numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute class {>50K,<=50K}

@data
39,Bachelors,13,Never-married,Adm-clerical,Not-in-family,2174,<=50K
50,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,<=50K
38,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,0,<=50K
53,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,0,<=50K
28,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,<=50K
37,Masters,14,Married-civ-spouse,Exec-managerial,Wife,0,<=50K
49,9th,5,Married-spouse-absent,Other-service,Not-in-family,0,<=50K
52,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,>50K
31,Masters,14,Never-married,Prof-specialty,Not-in-family,14084,>50K
42,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,5178,>50K
37,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,>50K
30,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,>50K
23,Bachelors,13,Never-married,Adm-clerical,Own-child,0,<=50K
32,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,<=50K
34,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,0,<=50K
25,HS-grad,9,Never-married,Farming-fishing,Own-child,0,<=50K
32,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,<=50K
38,11th,7,Married-civ-spouse,Sales,Husband,0,<=50K
43,Masters,14,Divorced,Exec-managerial,Unmarried,0,>50K
40,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,>50K
54,HS-grad,9,Separated,Other-service,Unmarried,0,<=50K
35,9th,5,Married-civ-spouse,Farming-fishing,Husband,0,<=50K
43,11th,7,Married-civ-spouse,Transport-moving,Husband,0,<=50K
59,HS-grad,9,Divorced,Tech-support,Unmarried,0,<=50K
56,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,>50K
19,HS-grad,9,Never-married,Craft-repair,Own-child,0,<=50K
39,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,<=50K
49,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,<=50K
23,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,0,<=50K
